model;date;sales;month;year;
V40 CC;2016-05-31;1728;May;2016;
V60;2016-05-31;3623;May;2016;
V60 CC;2016-05-31;1396;May;2016;
V70 III;2016-05-31;2024;May;2016;
XC60;2016-05-31;12029;May;2016;
XC70 III;2016-05-31;3382;May;2016;
XC90;2016-05-31;4;May;2016;
XC90 II;2016-05-31;6714;May;2016;
C70 I;2015-05-31;0;May;2015;
C70 II;2015-05-31;0;May;2015;
S40 II;2015-05-31;0;May;2015;
S60 CC;2015-05-31;0;May;2015;
S60 II;2015-05-31;3485;May;2015;
S60L;2015-05-31;2129;May;2015;
S80 II;2015-05-31;572;May;2015;
S80L;2015-05-31;175;May;2015;
S90;2015-05-31;0;May;2015;
V40;2015-05-31;6923;May;2015;
V40 CC;2015-05-31;1915;May;2015;
V60;2015-05-31;4579;May;2015;
V60 CC;2015-05-31;418;May;2015;
V70 III;2015-05-31;2276;May;2015;
XC60;2015-05-31;13183;May;2015;
XC70 III;2015-05-31;2432;May;2015;
XC90;2015-05-31;133;May;2015;
XC90 II;2015-05-31;1699;May;2015;
C70 II;2016-04-30;1;April;2016;
S40 II;2016-04-30;1;April;2016;
S60 CC;2016-04-30;153;April;2016;
S60 II;2016-04-30;1756;April;2016;
S60L;2016-04-30;2192;April;2016;
S80 II;2016-04-30;420;April;2016;
S80L;2016-04-30;0;April;2016;
V40;2016-04-30;5766;April;2016;
V40 CC;2016-04-30;1599;April;2016;
V60;2016-04-30;3086;April;2016;
V60 CC;2016-04-30;1488;April;2016;
V70 III;2016-04-30;2628;April;2016;
XC60;2016-04-30;11937;April;2016;
XC70 III;2016-04-30;3271;April;2016;
XC90;2016-04-30;34;April;2016;
XC90 II;2016-04-30;8102;April;2016;
C70 II;2015-04-30;2;April;2015;
S40 II;2015-04-30;0;April;2015;
S60 CC;2015-04-30;0;April;2015;
S60 II;2015-04-30;3145;April;2015;
S60L;2015-04-30;1944;April;2015;
S80 II;2015-04-30;612;April;2015;
S80L;2015-04-30;321;April;2015;
V40;2015-04-30;6239;April;2015;
V40 CC;2015-04-30;1811;April;2015;
V60;2015-04-30;4711;April;2015;
V60 CC;2015-04-30;349;April;2015;
V70 III;2015-04-30;2386;April;2015;
XC60;2015-04-30;13187;April;2015;
XC70 III;2015-04-30;2825;April;2015;
XC90;2015-04-30;211;April;2015;
XC90 II;2015-04-30;381;April;2015;
C30;2016-03-31;0;March;2016;
C70 II;2016-03-31;0;March;2016;
S60 CC;2016-03-31;197;March;2016;
S60 II;2016-03-31;2311;March;2016;
S60L;2016-03-31;2872;March;2016;
S80 II;2016-03-31;538;March;2016;
S80L;2016-03-31;2;March;2016;
V40;2016-03-31;8560;March;2016;
V40 CC;2016-03-31;2405;March;2016;
V60;2016-03-31;4130;March;2016;
V60 CC;2016-03-31;1726;March;2016;
V70 III;2016-03-31;2795;March;2016;
XC60;2016-03-31;14676;March;2016;
XC70 III;2016-03-31;3380;March;2016;
XC90;2016-03-31;146;March;2016;
XC90 II;2016-03-31;8541;March;2016;
C30;2015-03-31;5;March;2015;
C70 II;2015-03-31;2;March;2015;
S60 CC;2015-03-31;0;March;2015;
S60 II;2015-03-31;4409;March;2015;
S60L;2015-03-31;1925;March;2015;
S80 II;2015-03-31;570;March;2015;
S80L;2015-03-31;261;March;2015;
V40;2015-03-31;8898;March;2015;
V40 CC;2015-03-31;2687;March;2015;
V60;2015-03-31;5621;March;2015;
V60 CC;2015-03-31;253;March;2015;
V70 III;2015-03-31;2648;March;2015;
XC60;2015-03-31;15925;March;2015;
XC70 III;2015-03-31;3468;March;2015;
XC90;2015-03-31;214;March;2015;
XC90 II;2015-03-31;1;March;2015;
C70 II;2016-02-29;0;February;2016;
S60 CC;2016-02-29;117;February;2016;
S60 II;2016-02-29;1609;February;2016;
S60L;2016-02-29;1606;February;2016;
S80 II;2016-02-29;320;February;2016;
S80L;2016-02-29;8;February;2016;
V40;2016-02-29;4813;February;2016;
V40 CC;2016-02-29;1387;February;2016;
V60;2016-02-29;2632;February;2016;
V60 CC;2016-02-29;1366;February;2016;
V70 III;2016-02-29;2096;February;2016;
XC60;2016-02-29;9425;February;2016;
XC70 III;2016-02-29;2495;February;2016;
XC90;2016-02-29;622;February;2016;
XC90 II;2016-02-29;6055;February;2016;
C70 II;2015-02-28;0;February;2015;
S60 CC;2015-02-28;0;February;2015;
S60 II;2015-02-28;2698;February;2015;
S60L;2015-02-28;1560;February;2015;
S80 II;2015-02-28;439;February;2015;
S80L;2015-02-28;166;February;2015;
V40;2015-02-28;4620;February;2015;
V40 CC;2015-02-28;1793;February;2015;
V60;2015-02-28;4066;February;2015;
V60 CC;2015-02-28;73;February;2015;
V70 III;2015-02-28;1891;February;2015;
XC60;2015-02-28;10381;February;2015;
XC70 III;2015-02-28;2084;February;2015;
XC90;2015-02-28;214;February;2015;
XC90 II;2015-02-28;0;February;2015;
C70 II;2016-01-31;0;January;2016;
S60 CC;2016-01-31;149;January;2016;
S60 II;2016-01-31;1591;January;2016;
S60L;2016-01-31;2295;January;2016;
S80 II;2016-01-31;315;January;2016;
S80L;2016-01-31;37;January;2016;
V40;2016-01-31;4870;January;2016;
V40 CC;2016-01-31;1295;January;2016;
V60;2016-01-31;2278;January;2016;
V60 CC;2016-01-31;1083;January;2016;
V70 III;2016-01-31;1504;January;2016;
XC60;2016-01-31;10213;January;2016;
XC70 III;2016-01-31;1793;January;2016;
XC90;2016-01-31;118;January;2016;
XC90 II;2016-01-31;6219;January;2016;
C70 II;2015-01-31;6;January;2015;
S60 CC;2015-01-31;0;January;2015;
S60 II;2015-01-31;3089;January;2015;
S60L;2015-01-31;1671;January;2015;
S80 II;2015-01-31;577;January;2015;
S80L;2015-01-31;321;January;2015;
V40;2015-01-31;5471;January;2015;
V40 CC;2015-01-31;1519;January;2015;
V60;2015-01-31;3961;January;2015;
V60 CC;2015-01-31;28;January;2015;
V70 III;2015-01-31;1593;January;2015;
XC60;2015-01-31;10403;January;2015;
XC70 III;2015-01-31;2009;January;2015;
XC90;2015-01-31;206;January;2015;
XC90 II;2015-01-31;0;January;2015;
C30;2014-12-31;1;December;2014;
C70 II;2014-12-31;1;December;2014;
S40 II;2014-12-31;1;December;2014;
S60 II;2014-12-31;4029;December;2014;
S60L;2014-12-31;3284;December;2014;
S80 II;2014-12-31;648;December;2014;
S80L;2014-12-31;458;December;2014;
V40;2014-12-31;9587;December;2014;
V40 CC;2014-12-31;2623;December;2014;
V50;2014-12-31;3;December;2014;
V60;2014-12-31;5677;December;2014;
V70 III;2014-12-31;2676;December;2014;
XC60;2014-12-31;14429;December;2014;
XC70 III;2014-12-31;3151;December;2014;
XC90;2014-12-31;477;December;2014;
C30;2013-12-31;57;December;2013;
C70 II;2013-12-31;310;December;2013;
S40 II;2013-12-31;1;December;2013;
S60 II;2013-12-31;4720;December;2013;
S60L;2013-12-31;67;December;2013;
S80 II;2013-12-31;735;December;2013;
S80L;2013-12-31;401;December;2013;
V40;2013-12-31;8093;December;2013;
V40 CC;2013-12-31;2468;December;2013;
V50;2013-12-31;2;December;2013;
V60;2013-12-31;6042;December;2013;
V70 III;2013-12-31;2304;December;2013;
XC60;2013-12-31;12308;December;2013;
XC70 III;2013-12-31;2882;December;2013;
XC90;2013-12-31;2661;December;2013;
C30;2014-11-30;0;November;2014;
C70 II;2014-11-30;2;November;2014;
S40 II;2014-11-30;0;November;2014;
S60 II;2014-11-30;2927;November;2014;
S60L;2014-11-30;2520;November;2014;
S80 II;2014-11-30;721;November;2014;
S80L;2014-11-30;355;November;2014;
V40;2014-11-30;7328;November;2014;
V40 CC;2014-11-30;2263;November;2014;
V50;2014-11-30;0;November;2014;
V60;2014-11-30;4773;November;2014;
V70 III;2014-11-30;2497;November;2014;
XC60;2014-11-30;12360;November;2014;
XC70 III;2014-11-30;2714;November;2014;
XC90;2014-11-30;481;November;2014;
C30;2013-11-30;93;November;2013;
C70 II;2013-11-30;268;November;2013;
S40 II;2013-11-30;0;November;2013;
S60 II;2013-11-30;4528;November;2013;
S60L;2013-11-30;0;November;2013;
S80 II;2013-11-30;680;November;2013;
S80L;2013-11-30;288;November;2013;
V40;2013-11-30;7553;November;2013;
V40 CC;2013-11-30;2242;November;2013;
V50;2013-11-30;9;November;2013;
V60;2013-11-30;5350;November;2013;
V70 III;2013-11-30;2409;November;2013;
XC60;2013-11-30;10119;November;2013;
XC70 III;2013-11-30;2349;November;2013;
XC90;2013-11-30;2057;November;2013;
C30;2014-10-31;10;October;2014;
C70 II;2014-10-31;1;October;2014;
S40 II;2014-10-31;2;October;2014;
S60 II;2014-10-31;3155;October;2014;
S60L;2014-10-31;2414;October;2014;
S80 II;2014-10-31;672;October;2014;
S80L;2014-10-31;366;October;2014;
V40;2014-10-31;7560;October;2014;
V40 CC;2014-10-31;2421;October;2014;
V50;2014-10-31;0;October;2014;
V60;2014-10-31;5977;October;2014;
V70 III;2014-10-31;2754;October;2014;
XC60;2014-10-31;11895;October;2014;
XC70 III;2014-10-31;2614;October;2014;
XC90;2014-10-31;839;October;2014;
C30;2013-10-31;105;October;2013;
C70 II;2013-10-31;349;October;2013;
S40 II;2013-10-31;2;October;2013;
S60 II;2013-10-31;4073;October;2013;
S60L;2013-10-31;0;October;2013;
S80 II;2013-10-31;669;October;2013;
S80L;2013-10-31;157;October;2013;
V40;2013-10-31;7259;October;2013;
V40 CC;2013-10-31;2230;October;2013;
V50;2013-10-31;2;October;2013;
V60;2013-10-31;5170;October;2013;
V70 III;2013-10-31;2323;October;2013;
XC60;2013-10-31;9954;October;2013;
XC70 III;2013-10-31;2079;October;2013;
XC90;2013-10-31;1755;October;2013;
C30;2014-09-30;2;September;2014;
C70 II;2014-09-30;8;September;2014;
S40 II;2014-09-30;0;September;2014;
S60 II;2014-09-30;3866;September;2014;
S60L;2014-09-30;2551;September;2014;
S80 II;2014-09-30;710;September;2014;
S80L;2014-09-30;384;September;2014;
V40;2014-09-30;8850;September;2014;
V40 CC;2014-09-30;2541;September;2014;
V50;2014-09-30;0;September;2014;
V60;2014-09-30;5921;September;2014;
V70 III;2014-09-30;2546;September;2014;
XC60;2014-09-30;12970;September;2014;
XC70 III;2014-09-30;2689;September;2014;
XC90;2014-09-30;1453;September;2014;
C30;2013-09-30;180;September;2013;
C70 II;2013-09-30;343;September;2013;
S40 II;2013-09-30;5;September;2013;
S60 II;2013-09-30;5165;September;2013;
S60L;2013-09-30;0;September;2013;
S80 II;2013-09-30;781;September;2013;
S80L;2013-09-30;153;September;2013;
V40;2013-09-30;8220;September;2013;
V40 CC;2013-09-30;2463;September;2013;
V50;2013-09-30;4;September;2013;
V60;2013-09-30;5969;September;2013;
V70 III;2013-09-30;2493;September;2013;
XC60;2013-09-30;10757;September;2013;
XC70 III;2013-09-30;2367;September;2013;
XC90;2013-09-30;2052;September;2013;
C30;2014-08-31;2;August;2014;
C70 II;2014-08-31;14;August;2014;
S40 II;2014-08-31;1;August;2014;
S60 II;2014-08-31;3143;August;2014;
S60L;2014-08-31;2108;August;2014;
S80 II;2014-08-31;458;August;2014;
S80L;2014-08-31;346;August;2014;
V40;2014-08-31;4775;August;2014;
V40 CC;2014-08-31;1437;August;2014;
V50;2014-08-31;0;August;2014;
V60;2014-08-31;3584;August;2014;
V70 III;2014-08-31;1597;August;2014;
XC60;2014-08-31;8695;August;2014;
XC70 III;2014-08-31;1742;August;2014;
XC90;2014-08-31;1355;August;2014;
C30;2013-08-31;172;August;2013;
C70 II;2013-08-31;708;August;2013;
S40 II;2013-08-31;7;August;2013;
S60 II;2013-08-31;4139;August;2013;
S60L;2013-08-31;0;August;2013;
S80 II;2013-08-31;523;August;2013;
S80L;2013-08-31;137;August;2013;
V40;2013-08-31;4726;August;2013;
V40 CC;2013-08-31;1296;August;2013;
V50;2013-08-31;9;August;2013;
V60;2013-08-31;3243;August;2013;
V70 III;2013-08-31;1493;August;2013;
XC60;2013-08-31;7646;August;2013;
XC70 III;2013-08-31;1416;August;2013;
XC90;2013-08-31;1483;August;2013;
C30;2014-07-31;4;July;2014;
C70 II;2014-07-31;32;July;2014;
S40 II;2014-07-31;3;July;2014;
S60 II;2014-07-31;3510;July;2014;
S60L;2014-07-31;2102;July;2014;
S80 II;2014-07-31;536;July;2014;
S80L;2014-07-31;301;July;2014;
V40;2014-07-31;6880;July;2014;
V40 CC;2014-07-31;2126;July;2014;
V50;2014-07-31;0;July;2014;
V60;2014-07-31;4466;July;2014;
V70 III;2014-07-31;1913;July;2014;
XC60;2014-07-31;10803;July;2014;
XC70 III;2014-07-31;1867;July;2014;
XC90;2014-07-31;1896;July;2014;
C30;2013-07-31;327;July;2013;
C70 II;2013-07-31;531;July;2013;
S40 II;2013-07-31;8;July;2013;
S60 II;2013-07-31;4846;July;2013;
S60L;2013-07-31;0;July;2013;
S80 II;2013-07-31;628;July;2013;
S80L;2013-07-31;225;July;2013;
V40;2013-07-31;7057;July;2013;
V40 CC;2013-07-31;1476;July;2013;
V50;2013-07-31;14;July;2013;
V60;2013-07-31;4219;July;2013;
V70 III;2013-07-31;1904;July;2013;
XC60;2013-07-31;8810;July;2013;
XC70 III;2013-07-31;1642;July;2013;
XC90;2013-07-31;1963;July;2013;
C30;2014-06-30;1;June;2014;
C70 II;2014-06-30;65;June;2014;
S40 II;2014-06-30;1;June;2014;
S60 II;2014-06-30;4533;June;2014;
S60L;2014-06-30;2116;June;2014;
S80 II;2014-06-30;615;June;2014;
S80L;2014-06-30;433;June;2014;
V40;2014-06-30;7850;June;2014;
V40 CC;2014-06-30;2451;June;2014;
V50;2014-06-30;1;June;2014;
V60;2014-06-30;5524;June;2014;
V70 III;2014-06-30;2485;June;2014;
XC60;2014-06-30;12098;June;2014;
XC70 III;2014-06-30;2742;June;2014;
XC90;2014-06-30;2217;June;2014;
C30;2013-06-30;448;June;2013;
C70 II;2013-06-30;739;June;2013;
S40 II;2013-06-30;15;June;2013;
S60 II;2013-06-30;7210;June;2013;
S60L;2013-06-30;0;June;2013;
S80 II;2013-06-30;737;June;2013;
S80L;2013-06-30;255;June;2013;
V40;2013-06-30;6540;June;2013;
V40 CC;2013-06-30;1980;June;2013;
V50;2013-06-30;19;June;2013;
V60;2013-06-30;4579;June;2013;
V70 III;2013-06-30;2540;June;2013;
XC60;2013-06-30;10961;June;2013;
XC70 III;2013-06-30;2369;June;2013;
XC90;2013-06-30;2546;June;2013;
C30;2014-05-31;2;May;2014;
C70 II;2014-05-31;152;May;2014;
S40 II;2014-05-31;4;May;2014;
S60 II;2014-05-31;4100;May;2014;
S60L;2014-05-31;1910;May;2014;
S80 II;2014-05-31;553;May;2014;
S80L;2014-05-31;388;May;2014;
V40;2014-05-31;6676;May;2014;
V40 CC;2014-05-31;2349;May;2014;
V50;2014-05-31;2;May;2014;
V60;2014-05-31;5480;May;2014;
V70 III;2014-05-31;2341;May;2014;
XC60;2014-05-31;11823;May;2014;
XC70 III;2014-05-31;2670;May;2014;
XC90;2014-05-31;1999;May;2014;
C30;2013-05-31;586;May;2013;
C70 II;2013-05-31;660;May;2013;
S40 II;2013-05-31;8;May;2013;
S60 II;2013-05-31;5895;May;2013;
S60L;2013-05-31;0;May;2013;
S80 II;2013-05-31;583;May;2013;
S80L;2013-05-31;189;May;2013;
V40;2013-05-31;5953;May;2013;
V40 CC;2013-05-31;1991;May;2013;
V50;2013-05-31;15;May;2013;
V60;2013-05-31;3811;May;2013;
V70 III;2013-05-31;2191;May;2013;
XC60;2013-05-31;9706;May;2013;
XC70 III;2013-05-31;2043;May;2013;
XC90;2013-05-31;2029;May;2013;
C30;2014-04-30;27;April;2014;
C70 II;2014-04-30;186;April;2014;
S40 II;2014-04-30;4;April;2014;
S60 II;2014-04-30;3863;April;2014;
S60L;2014-04-30;1831;April;2014;
S80 II;2014-04-30;591;April;2014;
S80L;2014-04-30;416;April;2014;
V40;2014-04-30;5987;April;2014;
V40 CC;2014-04-30;1975;April;2014;
V50;2014-04-30;0;April;2014;
V60;2014-04-30;4800;April;2014;
V70 III;2014-04-30;2456;April;2014;
XC60;2014-04-30;10636;April;2014;
XC70 III;2014-04-30;2758;April;2014;
XC90;2014-04-30;1732;April;2014;
C30;2013-04-30;746;April;2013;
C70 II;2013-04-30;515;April;2013;
S40 II;2013-04-30;14;April;2013;
S60 II;2013-04-30;5074;April;2013;
S60L;2013-04-30;0;April;2013;
S80 II;2013-04-30;663;April;2013;
S80L;2013-04-30;239;April;2013;
V40;2013-04-30;5432;April;2013;
V40 CC;2013-04-30;1913;April;2013;
V50;2013-04-30;14;April;2013;
V60;2013-04-30;4256;April;2013;
V70 III;2013-04-30;2462;April;2013;
XC60;2013-04-30;8575;April;2013;
XC70 III;2013-04-30;2030;April;2013;
XC90;2013-04-30;1769;April;2013;
C30;2014-03-31;60;March;2014;
C70 II;2014-03-31;181;March;2014;
S40 II;2014-03-31;0;March;2014;
S60 II;2014-03-31;4803;March;2014;
S60L;2014-03-31;1300;March;2014;
S80 II;2014-03-31;851;March;2014;
S80L;2014-03-31;441;March;2014;
V40;2014-03-31;9214;March;2014;
V40 CC;2014-03-31;2715;March;2014;
V50;2014-03-31;1;March;2014;
V60;2014-03-31;6702;March;2014;
V70 III;2014-03-31;2929;March;2014;
XC60;2014-03-31;13665;March;2014;
XC70 III;2014-03-31;2613;March;2014;
XC90;2014-03-31;2375;March;2014;
C30;2013-03-31;1221;March;2013;
C70 II;2013-03-31;604;March;2013;
S40 II;2013-03-31;46;March;2013;
S60 II;2013-03-31;6390;March;2013;
S60L;2013-03-31;0;March;2013;
S80 II;2013-03-31;827;March;2013;
S80L;2013-03-31;389;March;2013;
V40;2013-03-31;7656;March;2013;
V40 CC;2013-03-31;1658;March;2013;
V50;2013-03-31;27;March;2013;
V60;2013-03-31;5263;March;2013;
V70 III;2013-03-31;2353;March;2013;
XC60;2013-03-31;9797;March;2013;
XC70 III;2013-03-31;2126;March;2013;
XC90;2013-03-31;2219;March;2013;
C30;2014-02-28;30;February;2014;
C70 II;2014-02-28;169;February;2014;
S40 II;2014-02-28;3;February;2014;
S60 II;2014-02-28;3044;February;2014;
S60L;2014-02-28;768;February;2014;
S80 II;2014-02-28;503;February;2014;
S80L;2014-02-28;358;February;2014;
V40;2014-02-28;4993;February;2014;
V40 CC;2014-02-28;1688;February;2014;
V50;2014-02-28;1;February;2014;
V60;2014-02-28;4445;February;2014;
V70 III;2014-02-28;1900;February;2014;
XC60;2014-02-28;8672;February;2014;
XC70 III;2014-02-28;1954;February;2014;
XC90;2014-02-28;1420;February;2014;
C30;2013-02-28;792;February;2013;
C70 II;2013-02-28;390;February;2013;
S40 II;2013-02-28;28;February;2013;
S60 II;2013-02-28;4572;February;2013;
S60L;2013-02-28;0;February;2013;
S80 II;2013-02-28;554;February;2013;
S80L;2013-02-28;495;February;2013;
V40;2013-02-28;5029;February;2013;
V40 CC;2013-02-28;987;February;2013;
V50;2013-02-28;43;February;2013;
V60;2013-02-28;3301;February;2013;
V70 III;2013-02-28;1800;February;2013;
XC60;2013-02-28;7402;February;2013;
XC70 III;2013-02-28;1705;February;2013;
XC90;2013-02-28;1529;February;2013;
C30;2014-01-31;31;January;2014;
C70 II;2014-01-31;148;January;2014;
S40 II;2014-01-31;1;January;2014;
S60 II;2014-01-31;3282;January;2014;
S60L;2014-01-31;464;January;2014;
S80 II;2014-01-31;810;January;2014;
S80L;2014-01-31;575;January;2014;
V40;2014-01-31;5071;January;2014;
V40 CC;2014-01-31;1504;January;2014;
V50;2014-01-31;7;January;2014;
V60;2014-01-31;4628;January;2014;
V70 III;2014-01-31;1701;January;2014;
XC60;2014-01-31;8947;January;2014;
XC70 III;2014-01-31;1578;January;2014;
XC90;2014-01-31;1625;January;2014;
C30;2013-01-31;901;January;2013;
C70 II;2013-01-31;341;January;2013;
S40 II;2013-01-31;47;January;2013;
S60 II;2013-01-31;4967;January;2013;
S60L;2013-01-31;0;January;2013;
S80 II;2013-01-31;571;January;2013;
S80L;2013-01-31;603;January;2013;
V40;2013-01-31;4789;January;2013;
V40 CC;2013-01-31;900;January;2013;
V50;2013-01-31;65;January;2013;
V60;2013-01-31;3463;January;2013;
V70 III;2013-01-31;1861;January;2013;
XC60;2013-01-31;7975;January;2013;
XC70 III;2013-01-31;1410;January;2013;
XC90;2013-01-31;1721;January;2013;
C30;2012-12-31;1286;December;2012;
C70 II;2012-12-31;386;December;2012;
S40 II;2012-12-31;93;December;2012;
S60 II;2012-12-31;6042;December;2012;
S80 II;2012-12-31;918;December;2012;
S80L;2012-12-31;686;December;2012;
V40;2012-12-31;4635;December;2012;
V40 CC;2012-12-31;244;December;2012;
V50;2012-12-31;398;December;2012;
V60;2012-12-31;5570;December;2012;
V70 III;2012-12-31;3100;December;2012;
XC60;2012-12-31;9925;December;2012;
XC70 III;2012-12-31;2468;December;2012;
XC90;2012-12-31;2804;December;2012;
C30;2011-12-31;2179;December;2011;
C70 II;2011-12-31;551;December;2011;
S40 II;2011-12-31;1757;December;2011;
S60 II;2011-12-31;6265;December;2011;
S80 II;2011-12-31;1229;December;2011;
S80L;2011-12-31;1428;December;2011;
V40;2011-12-31;0;December;2011;
V40 CC;2011-12-31;0;December;2011;
V50;2011-12-31;3548;December;2011;
V60;2011-12-31;4536;December;2011;
V70 III;2011-12-31;3079;December;2011;
XC60;2011-12-31;9726;December;2011;
XC70 III;2011-12-31;2998;December;2011;
XC90;2011-12-31;4231;December;2011;
C30;2012-11-30;1352;November;2012;
C70 II;2012-11-30;442;November;2012;
S40 II;2012-11-30;159;November;2012;
S60 II;2012-11-30;5139;November;2012;
S80 II;2012-11-30;853;November;2012;
S80L;2012-11-30;490;November;2012;
V40;2012-11-30;5470;November;2012;
V50;2012-11-30;568;November;2012;
V60;2012-11-30;4583;November;2012;
V70 III;2012-11-30;2287;November;2012;
XC60;2012-11-30;9727;November;2012;
XC70 III;2012-11-30;2429;November;2012;
XC90;2012-11-30;2365;November;2012;
C30;2011-11-30;2301;November;2011;
C70 II;2011-11-30;613;November;2011;
S40 II;2011-11-30;1547;November;2011;
S60 II;2011-11-30;5810;November;2011;
S80 II;2011-11-30;918;November;2011;
S80L;2011-11-30;770;November;2011;
V40;2011-11-30;0;November;2011;
V50;2011-11-30;3901;November;2011;
V60;2011-11-30;4568;November;2011;
V70 III;2011-11-30;3266;November;2011;
XC60;2011-11-30;8488;November;2011;
XC70 III;2011-11-30;2697;November;2011;
XC90;2011-11-30;3495;November;2011;
C30;2012-10-31;1235;October;2012;
C70 II;2012-10-31;398;October;2012;
S40 II;2012-10-31;245;October;2012;
S60 II;2012-10-31;4245;October;2012;
S80 II;2012-10-31;803;October;2012;
S80L;2012-10-31;292;October;2012;
V40;2012-10-31;6228;October;2012;
V50;2012-10-31;680;October;2012;
V60;2012-10-31;4857;October;2012;
V70 III;2012-10-31;2709;October;2012;
XC60;2012-10-31;8974;October;2012;
XC70 III;2012-10-31;2090;October;2012;
XC90;2012-10-31;2087;October;2012;
C30;2011-10-31;2123;October;2011;
C70 II;2011-10-31;575;October;2011;
S40 II;2011-10-31;1665;October;2011;
S60 II;2011-10-31;5645;October;2011;
S80 II;2011-10-31;1057;October;2011;
S80L;2011-10-31;556;October;2011;
V40;2011-10-31;0;October;2011;
V50;2011-10-31;3597;October;2011;
V60;2011-10-31;4728;October;2011;
V70 III;2011-10-31;3337;October;2011;
XC60;2011-10-31;7181;October;2011;
XC70 III;2011-10-31;2065;October;2011;
XC90;2011-10-31;2960;October;2011;
C30;2012-09-30;1632;September;2012;
C70 II;2012-09-30;480;September;2012;
S40 II;2012-09-30;588;September;2012;
S60 II;2012-09-30;5435;September;2012;
S80 II;2012-09-30;953;September;2012;
S80L;2012-09-30;840;September;2012;
V40;2012-09-30;3063;September;2012;
V50;2012-09-30;1703;September;2012;
V60;2012-09-30;4625;September;2012;
V70 III;2012-09-30;2486;September;2012;
XC60;2012-09-30;9462;September;2012;
XC70 III;2012-09-30;2120;September;2012;
XC90;2012-09-30;2694;September;2012;
C30;2011-09-30;2693;September;2011;
C70 II;2011-09-30;780;September;2011;
S40 II;2011-09-30;1955;September;2011;
S60 II;2011-09-30;6360;September;2011;
S80 II;2011-09-30;1427;September;2011;
S80L;2011-09-30;1069;September;2011;
V40;2011-09-30;0;September;2011;
V50;2011-09-30;4021;September;2011;
V60;2011-09-30;5652;September;2011;
V70 III;2011-09-30;3621;September;2011;
XC60;2011-09-30;7703;September;2011;
XC70 III;2011-09-30;2658;September;2011;
XC90;2011-09-30;4039;September;2011;
C30;2012-08-31;1132;August;2012;
C70 II;2012-08-31;554;August;2012;
S40 II;2012-08-31;596;August;2012;
S60 II;2012-08-31;4630;August;2012;
S80 II;2012-08-31;831;August;2012;
S80L;2012-08-31;190;August;2012;
V40;2012-08-31;1195;August;2012;
V50;2012-08-31;1211;August;2012;
V60;2012-08-31;2658;August;2012;
V70 III;2012-08-31;2002;August;2012;
XC60;2012-08-31;7153;August;2012;
XC70 III;2012-08-31;1543;August;2012;
XC90;2012-08-31;2099;August;2012;
C30;2011-08-31;1587;August;2011;
C70 II;2011-08-31;645;August;2011;
S40 II;2011-08-31;1349;August;2011;
S60 II;2011-08-31;4759;August;2011;
S80 II;2011-08-31;1012;August;2011;
S80L;2011-08-31;852;August;2011;
V40;2011-08-31;0;August;2011;
V50;2011-08-31;2348;August;2011;
V60;2011-08-31;2818;August;2011;
V70 III;2011-08-31;2386;August;2011;
XC60;2011-08-31;4909;August;2011;
XC70 III;2011-08-31;1698;August;2011;
XC90;2011-08-31;2574;August;2011;
C30;2012-07-31;1396;July;2012;
C70 II;2012-07-31;637;July;2012;
S40 II;2012-07-31;755;July;2012;
S60 II;2012-07-31;5057;July;2012;
S80 II;2012-07-31;871;July;2012;
S80L;2012-07-31;231;July;2012;
V40;2012-07-31;1328;July;2012;
V50;2012-07-31;1707;July;2012;
V60;2012-07-31;3514;July;2012;
V70 III;2012-07-31;2141;July;2012;
XC60;2012-07-31;7792;July;2012;
XC70 III;2012-07-31;1717;July;2012;
XC90;2012-07-31;2359;July;2012;
C30;2011-07-31;1863;July;2011;
C70 II;2011-07-31;885;July;2011;
S40 II;2011-07-31;1908;July;2011;
S60 II;2011-07-31;5182;July;2011;
S80 II;2011-07-31;1266;July;2011;
S80L;2011-07-31;806;July;2011;
V40;2011-07-31;0;July;2011;
V50;2011-07-31;3296;July;2011;
V60;2011-07-31;3423;July;2011;
V70 III;2011-07-31;2598;July;2011;
XC60;2011-07-31;7587;July;2011;
XC70 III;2011-07-31;2079;July;2011;
XC90;2011-07-31;3311;July;2011;
C30;2012-06-30;2956;June;2012;
C70 II;2012-06-30;1328;June;2012;
S40 II;2012-06-30;1427;June;2012;
S60 II;2012-06-30;6762;June;2012;
S80 II;2012-06-30;1372;June;2012;
S80L;2012-06-30;249;June;2012;
V40;2012-06-30;283;June;2012;
V50;2012-06-30;3679;June;2012;
V60;2012-06-30;5717;June;2012;
V70 III;2012-06-30;3029;June;2012;
XC60;2012-06-30;9923;June;2012;
XC70 III;2012-06-30;2382;June;2012;
XC90;2012-06-30;2912;June;2012;
C30;2011-06-30;2619;June;2011;
C70 II;2011-06-30;1114;June;2011;
S40 II;2011-06-30;2278;June;2011;
S60 II;2011-06-30;7243;June;2011;
S80 II;2011-06-30;1607;June;2011;
S80L;2011-06-30;1105;June;2011;
V40;2011-06-30;0;June;2011;
V50;2011-06-30;3979;June;2011;
V60;2011-06-30;5194;June;2011;
V70 III;2011-06-30;3314;June;2011;
XC60;2011-06-30;10179;June;2011;
XC70 III;2011-06-30;2062;June;2011;
XC90;2011-06-30;4059;June;2011;
C30;2012-05-31;1653;May;2012;
C70 II;2012-05-31;868;May;2012;
S40 II;2012-05-31;1575;May;2012;
S60 II;2012-05-31;5724;May;2012;
